,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
73,0.558,0.928,5,-3.04,1,0.0356,0.0746,5.44e-05,0.696,0.6,96.313,audio_features,3APayTEWiUl9Ssep4BOXR2,spotify:track:3APayTEWiUl9Ssep4BOXR2,https://api.spotify.com/v1/tracks/3APayTEWiUl9Ssep4BOXR2,https://api.spotify.com/v1/audio-analysis/3APayTEWiUl9Ssep4BOXR2,244813,4
74,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,audio_features,2TYC9SaRhYypUQzB1ZVTG2,spotify:track:2TYC9SaRhYypUQzB1ZVTG2,https://api.spotify.com/v1/tracks/2TYC9SaRhYypUQzB1ZVTG2,https://api.spotify.com/v1/audio-analysis/2TYC9SaRhYypUQzB1ZVTG2,230760,4
75,0.756,0.837,2,-6.943,1,0.051,0.297,0.0,0.0567,0.588,132.146,audio_features,2gG7E5OZi5D5QLRIctv63z,spotify:track:2gG7E5OZi5D5QLRIctv63z,https://api.spotify.com/v1/tracks/2gG7E5OZi5D5QLRIctv63z,https://api.spotify.com/v1/audio-analysis/2gG7E5OZi5D5QLRIctv63z,243093,4
76,0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028,audio_features,0qt5f5EL92o8Snzopsv0en,spotify:track:0qt5f5EL92o8Snzopsv0en,https://api.spotify.com/v1/tracks/0qt5f5EL92o8Snzopsv0en,https://api.spotify.com/v1/audio-analysis/0qt5f5EL92o8Snzopsv0en,218228,4
77,0.538,0.957,6,-5.589,0,0.071,0.000746,0.042,0.0604,0.744,101.887,audio_features,1KP1j8sCQADCc8eXrtAUP6,spotify:track:1KP1j8sCQADCc8eXrtAUP6,https://api.spotify.com/v1/tracks/1KP1j8sCQADCc8eXrtAUP6,https://api.spotify.com/v1/audio-analysis/1KP1j8sCQADCc8eXrtAUP6,176147,4
78,0.567,0.512,0,-8.831,1,0.0357,0.545,0.0,0.296,0.334,130.271,audio_features,5fgkjhICZnqFctrV0AyuQD,spotify:track:5fgkjhICZnqFctrV0AyuQD,https://api.spotify.com/v1/tracks/5fgkjhICZnqFctrV0AyuQD,https://api.spotify.com/v1/audio-analysis/5fgkjhICZnqFctrV0AyuQD,252613,4
79,0.606,0.897,10,-7.469,0,0.0448,0.176,0.882,0.17,0.393,130.55,audio_features,1pUFYb9peWkK8m1WCKNRjp,spotify:track:1pUFYb9peWkK8m1WCKNRjp,https://api.spotify.com/v1/tracks/1pUFYb9peWkK8m1WCKNRjp,https://api.spotify.com/v1/audio-analysis/1pUFYb9peWkK8m1WCKNRjp,208507,4
80,0.915,0.498,11,-10.435,1,0.102,0.00556,0.000116,0.067,0.555,95.852,audio_features,59eAcAyhYSLi5GKFrgHJzG,spotify:track:59eAcAyhYSLi5GKFrgHJzG,https://api.spotify.com/v1/tracks/59eAcAyhYSLi5GKFrgHJzG,https://api.spotify.com/v1/audio-analysis/59eAcAyhYSLi5GKFrgHJzG,194493,4
81,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4
82,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,audio_features,6kWJvPfC4DgUpRsXKNa9z9,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/tracks/6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/audio-analysis/6kWJvPfC4DgUpRsXKNa9z9,211213,4
83,0.702,0.955,10,-5.24,0,0.101,0.0617,0.428,0.131,0.367,170.006,audio_features,15m8iQpn2hMNvGOSSx6wkw,spotify:track:15m8iQpn2hMNvGOSSx6wkw,https://api.spotify.com/v1/tracks/15m8iQpn2hMNvGOSSx6wkw,https://api.spotify.com/v1/audio-analysis/15m8iQpn2hMNvGOSSx6wkw,223601,4
84,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,audio_features,4HlFJV71xXKIGcU3kRyttv,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,216773,4
85,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,audio_features,7oGZAicScQt96OAW4AruYy,spotify:track:7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/tracks/7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/audio-analysis/7oGZAicScQt96OAW4AruYy,207719,4
